Species,Native range,Native range marine province,Data source
Amphibalanus improvisus,Canada - New Brunswick,Cold Temperate Northwest Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Nova Scotia,Cold Temperate Northwest Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Quebec,Cold Temperate Northwest Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Mexico,Warm Temperate Northeast Pacific,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Mexico,Tropical East Pacific,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Mexico,Tropical Northwestern Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Alabama,Warm Temperate Northwest Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Florida,Tropical Northwestern Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Hawaii,Hawaii,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Louisianna,Warm Temperate Northwest Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Maryland,Cold Temperate Northwest Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Massachusettes,Cold Temperate Northwest Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Mississippi,Warm Temperate Northwest Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,North Carolina,Warm Temperate Northwest Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,South Carolina,Warm Temperate Northwest Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Texas,Warm Temperate Northwest Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Atlantic - Northwest,Cold Temperate Northwest Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Caribbean,Tropical Northwestern Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Brazil,Warm Temperate Southwestern Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Brazil,North Brazil Shelf,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Brazil,Tropical Southwestern Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,South America - entire Atlantic coast,Warm Temperate Southwestern Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,South America - entire Atlantic coast,Magellanic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Central America - entire Atlantic coast,Tropical Northwestern Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Gulf of Mexico,Warm Temperate Northwest Atlantic,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Gulf of Mexico,Tropical Northwestern Atlantic,CABI Invasive Species Compendium and Nemesis
Asparagopsis armata,NA,NA,No sources state its origin
