Species,Invaded range,Invaded range marine province,Data source
Amphibalanus improvisus,Azerbaijan,Caspian Sea,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,China,South China Sea,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,China,Warm Temperate Northwest Pacific,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,China,Cold Temperate Northwest Pacific,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Georgia,Black Sea,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Sumatra,Sunda Shelf,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Sumatra,Andaman,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Iran,Somali/Arabian,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Japan,Cold Temperate Northwest Pacific,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Japan,Warm Temperate Northwest Pacific,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Malaysia,Sunda Shelf,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Malaysia,South China Sea,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Singapore,Sunda Shelf,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,South Korea,Cold Temperate Northwest Pacific,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,South Korea,Warm Temperate Northwest Pacific,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Turkey,Black Sea,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Turkey,Mediterranean Sea,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Turkmenistan,Caspian Sea,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Vietnam,South China Sea,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Vietnam,NA,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Belgium,Northern European Seas,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Bulgaria,Black Sea,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Denmark,Northern European Seas,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Estonia,Northern European Seas,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Finland,Northern European Seas,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,France,Northern European Seas,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,France,Mediterranean Sea,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Germany,Northern European Seas,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Germany,NA,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Greece,Mediterranean Sea,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Ireland,Northern European Seas,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Italy,Mediterranean Sea,CABI Invasive Species Compendium and Nemesis
Amphibalanus improvisus,Latvia,Northern European Seas,CABI Invasive Species Compendium and Nemesis
